DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades 3K-PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,2018-19 ELA # Tested,2018-19 ELA # Proficient (L3&4),2018-19 ELA % Proficient (L3&4),2018-19 Math # Tested,2018-19 Math # Proficient (L3&4),2018-19 Math % Proficient (L3&4),2018-19 Total 4-year August Grad Cohort,2018-19 % 4-year August Graduates,2018-19 Total 6-year Grad Cohort,2018-19 % 6-year Graduates
05M148,5,Eagle Academy for Young Men of Harlem,false,M136,false,382,0,144,238,0.003,0.654,0.285,0.042,0.016,0.322,0.065,0.775,144,25,17.4%,90,22,24.4%,s,s,,
05M154,5,P.S. 154 Harriet Tubman,false,M154,false,282,282,0,0,0.035,0.589,0.294,0.011,0.071,0.28,0.128,0.94,120,42,35.0%,121,33,27.3%,,,,
05M157,5,The Urban Assembly School for Global Commerce,false,M501,false,233,0,0,233,0.004,0.446,0.519,0.013,0.017,0.335,0.107,0.88,,,,,,,48,70.8%,58,84.5%
05M175,5,P.S. 175 Henry H Garnet,false,M175,false,343,343,0,0,0.055,0.528,0.379,0.012,0.026,0.198,0.122,0.907,139,56,40.3%,141,56,39.7%,,,,
05M194,5,P.S. 194 Countee Cullen,false,M194,false,185,185,0,0,0.011,0.546,0.4,0.022,0.022,0.281,0.184,0.973,109,13,11.9%,109,9,8.3%,,,,
05M197,5,P.S. 197 John B. Russwurm,false,M197,false,289,289,0,0,0.017,0.592,0.37,0.003,0.017,0.298,0.076,0.917,130,24,18.5%,135,12,8.9%,,,,
05M200,5,P.S. 200- The James McCune Smith School,false,M200,false,375,375,0,0,0.003,0.611,0.331,0.035,0.021,0.256,0.093,0.88,159,54,34.0%,167,39,23.4%,,,,
05M285,5,Harlem Renaissance High School,false,M911,true,213,0,0,213,0,0.516,0.437,0.033,0.014,0.315,0.197,0.859,,,,,,,111,14.4%,109,43.1%
05M286,5,Urban Assembly Academy for Future Leaders,false,M043,false,103,0,103,0,0.019,0.583,0.359,0.029,0.01,0.456,0.049,0.893,114,21,18.4%,83,8,9.6%,,,,
05M304,5,Mott Hall High School,false,M136,false,239,0,0,239,0.038,0.377,0.536,0.013,0.038,0.285,0.18,0.912,,,,,,,75,65.3%,90,81.1%
05M362,5,Columbia Secondary School,false,M125,false,698,0,292,406,0.093,0.185,0.365,0.063,0.294,0.175,0.004,0.464,243,222,91.4%,163,151,92.6%,100,96.0%,92,100.0%
05M369,5,Urban Assembly School for the Performing Arts,false,M043,false,380,0,1,379,0.021,0.508,0.442,0.024,0.005,0.234,0.063,0.818,,,,,,,73,75.3%,70,77.1%
05M514,5,New Design Middle School,false,M195,false,138,0,138,0,0,0.572,0.399,0.007,0.022,0.486,0.029,0.942,116,10,8.6%,121,11,9.1%,,,,
06M052,6,Harold O. Levy School,false,M052,false,268,0,268,0,0.004,0.045,0.933,0.007,0.011,0.272,0.414,0.955,227,42,18.5%,218,25,11.5%,,,,
06M103,6,Dos Puentes Elementary School,false,M132,false,415,415,0,0,0.005,0.022,0.757,0.027,0.19,0.246,0.299,0.653,162,66,40.7%,166,65,39.2%,,,,
06M115,6,P.S. 115 Alexander Humboldt,false,M115,false,447,447,0,0,0.013,0.007,0.951,0.007,0.022,0.217,0.268,0.973,208,55,26.4%,225,70,31.1%,,,,
06M128,6,P.S. 128 Audubon,false,M128,false,604,604,0,0,0.01,0.035,0.916,0.007,0.033,0.212,0.171,0.877,243,94,38.7%,255,86,33.7%,,,,
06M132,6,P.S. 132 Juan Pablo Duarte,false,M132,false,205,205,0,0,0,0.029,0.951,0,0.02,0.263,0.439,0.883,134,29,21.6%,152,40,26.3%,,,,
06M143,6,J.H.S. 143 Eleanor Roosevelt,false,M143,false,222,0,222,0,0.014,0.054,0.874,0.009,0.05,0.284,0.559,0.896,221,42,19.0%,239,44,18.4%,,,,
06M153,6,P.S. 153 Adam Clayton Powell,false,M153,false,490,490,0,0,0.022,0.165,0.761,0.014,0.037,0.171,0.253,0.918,238,99,41.6%,252,109,43.3%,,,,
06M173,6,P.S. 173,false,M173,false,505,505,0,0,0.034,0.022,0.891,0.016,0.038,0.184,0.119,0.786,203,84,41.4%,214,87,40.7%,,,,
06M189,6,P.S. 189,false,M189,false,659,659,0,0,0.011,0.02,0.938,0,0.032,0.215,0.231,0.9,340,148,43.5%,350,145,41.4%,,,,
06M192,6,P.S. 192 Jacob H. Schiff,false,M192,false,341,341,0,0,0.003,0.114,0.836,0.003,0.044,0.229,0.264,0.971,148,54,36.5%,158,49,31.0%,,,,
06M209,6,Hamilton Grange Middle School,false,M192,false,321,0,321,0,0.025,0.1,0.816,0.012,0.047,0.249,0.196,0.888,279,100,35.8%,251,71,28.3%,,,,
06M211,6,Inwood Early College for Health and Information Technologies,false,M052,false,459,0,0,459,0.004,0.096,0.871,0.013,0.015,0.244,0.109,0.926,,,,,,,98,71.4%,,
06M293,6,City College Academy of the Arts,false,M218,false,612,0,258,354,0.015,0.039,0.912,0.005,0.029,0.16,0.056,0.802,247,127,51.4%,237,76,32.1%,74,94.6%,79,98.7%
06M311,6,Amistad Dual Language School,false,M176,false,427,280,147,0,0.009,0.019,0.92,0.007,0.044,0.211,0.302,0.78,256,126,49.2%,264,115,43.6%,,,,
06M314,6,Muscota,false,M176,false,302,302,0,0,0.04,0.023,0.427,0.076,0.434,0.205,0.06,0.295,127,102,80.3%,127,96,75.6%,,,,
06M319,6,M.S. 319 - Maria Teresa,false,M090,false,386,0,386,0,0,0.023,0.966,0,0.01,0.275,0.329,0.969,311,78,25.1%,320,66,20.6%,,,,
06M322,6,Middle School 322,false,M218,false,325,0,325,0,0,0.012,0.972,0.012,0.003,0.2,0.415,0.96,359,98,27.3%,385,69,17.9%,,,,
06M324,6,M.S. 324 - Patria Mirabal,false,M090,false,319,0,319,0,0.019,0.103,0.843,0,0.034,0.251,0.351,0.853,279,107,38.4%,254,90,35.4%,,,,
06M328,6,Community Math & Science Prep,false,M164,false,167,0,167,0,0.012,0.126,0.826,0.006,0.03,0.389,0.455,0.934,167,30,18.0%,192,30,15.6%,,,,
06M348,6,Washington Heights Expeditionary Learning School,false,M143,false,890,249,258,383,0.009,0.028,0.917,0.009,0.037,0.227,0.167,0.846,309,114,36.9%,230,87,37.8%,90,90.0%,92,88.0%
06M349,6,Harbor Heights,false,M173,false,123,0,123,0,0,0,0.992,0.008,0,0.024,0.927,0.992,81,2,2.5%,137,24,17.5%,,,,
06M368,6,Hamilton Heights School,false,M153,false,160,160,0,0,0.025,0.2,0.481,0.056,0.237,0.237,0.138,0.656,90,27,30.0%,92,31,33.7%,,,,
06M423,6,High School for Excellence and Innovation,false,M052,true,189,0,0,189,0,0.069,0.905,0.016,0.011,0.164,0.593,0.974,,,,,,,71,57.7%,58,62.1%
06M462,6,The College Academy,false,M465,false,367,0,0,367,0.005,0.074,0.888,0.014,0.019,0.207,0.542,0.918,,,,,,,99,73.7%,90,68.9%
06M463,6,High School for Media and Communications,false,M465,false,350,0,0,350,0.011,0.077,0.886,0.009,0.017,0.183,0.48,0.914,,,,,,,89,68.5%,97,66.0%
06M467,6,High School for Law and Public Service,false,M465,false,445,0,0,445,0.009,0.16,0.807,0.007,0.018,0.261,0.36,0.885,,,,,,,141,54.6%,129,78.3%
06M468,6,High School for Health Careers and Sciences,false,M465,false,401,0,0,401,0.015,0.162,0.803,0.01,0.01,0.187,0.416,0.98,,,,,,,82,76.8%,104,72.1%
06M513,6,Castle Bridge School,false,M128,false,189,189,0,0,0.011,0.048,0.709,0.048,0.185,0.365,0.339,0.661,17,11,64.7%,16,10,62.5%,,,,
07X030,7,P.S. 030 Wilton,false,X030,false,527,527,0,0,0.006,0.199,0.769,0.006,0.021,0.247,0.201,0.928,251,67,26.7%,260,45,17.3%,,,,
07X031,7,P.S./M.S. 031 The William Lloyd Garrison,false,X151,false,691,461,230,0,0.026,0.274,0.654,0.013,0.033,0.23,0.122,0.899,404,130,32.2%,407,103,25.3%,,,,
07X043,7,P.S. 043 Jonas Bronck,false,X043,false,414,414,0,0,0.002,0.244,0.742,0.007,0.005,0.203,0.118,0.961,191,85,44.5%,195,72,36.9%,,,,
07X049,7,P.S. 049 Willis Avenue,false,X049,false,651,651,0,0,0.005,0.258,0.714,0.011,0.012,0.275,0.129,0.939,273,127,46.5%,274,139,50.7%,,,,
07X065,7,P.S. 065 Mother Hale Academy,false,X065,false,357,357,0,0,0.017,0.314,0.633,0.014,0.022,0.258,0.12,0.966,159,47,29.6%,164,41,25.0%,,,,
07X151,7,J.H.S. 151 Lou Gehrig,false,X151,false,189,0,189,0,0.016,0.27,0.683,0.005,0.026,0.291,0.317,0.963,199,34,17.1%,219,21,9.6%,,,,
07X154,7,P.S. 154 Jonathan D. Hyatt,false,X154,false,302,302,0,0,0.003,0.404,0.579,0.007,0.007,0.238,0.116,0.99,157,89,56.7%,161,60,37.3%,,,,
07X161,7,P.S. 161 Juan Ponce De Leon School,false,X161,false,453,453,0,0,0.004,0.201,0.77,0.018,0.007,0.274,0.117,0.965,167,52,31.1%,170,65,38.2%,,,,
07X179,7,P.S. 179,false,X040,false,312,312,0,0,0.01,0.196,0.779,0.006,0.01,0.24,0.192,0.917,150,55,36.7%,154,42,27.3%,,,,
07X221,7,South Bronx Preparatory: A College Board School,false,X149,false,652,0,254,398,0.015,0.233,0.721,0.008,0.023,0.259,0.054,0.943,257,109,42.4%,255,78,30.6%,89,94.4%,79,97.5%
07X223,7,The Laboratory School of Finance and Technology: X223,false,X149,false,683,0,297,386,0.009,0.165,0.811,0.007,0.007,0.19,0.051,0.933,289,167,57.8%,287,173,60.3%,85,88.2%,90,92.2%
07X224,7,P.S./I.S. 224,false,X139,false,281,0,281,0,0.007,0.267,0.708,0.011,0.007,0.306,0.214,0.993,288,30,10.4%,301,12,4.0%,,,,
07X259,7,"H.E.R.O. High (Health, Education, and Research Occupations High School)",false,X655,false,532,0,0,532,0.028,0.365,0.588,0.006,0.013,0.226,0.083,0.831,,,,,,,109,76.1%,106,77.4%
07X277,7,P.S. 277,false,X027,false,438,438,0,0,0.007,0.251,0.712,0.025,0.005,0.221,0.148,0.913,170,48,28.2%,172,52,30.2%,,,,
07X296,7,South Bronx Academy for Applied Media,false,X184,false,216,0,216,0,0.009,0.315,0.644,0.023,0.009,0.329,0.139,0.917,201,50,24.9%,208,39,18.8%,,,,
07X298,7,Academy of Public Relations,false,X184,false,250,0,250,0,0,0.236,0.752,0.008,0.004,0.352,0.284,0.956,214,32,15.0%,201,24,11.9%,,,,
07X334,7,International Community High School,false,X139,false,410,0,0,410,0.037,0.154,0.766,0.024,0.02,0.071,0.861,0.99,,,,,,,121,83.5%,105,72.4%
07X343,7,Academy of Applied Mathematics and Technology,false,X139,false,301,0,301,0,0.027,0.276,0.674,0.007,0.017,0.279,0.106,0.947,301,102,33.9%,269,111,41.3%,,,,
07X359,7,Concourse Village Elementary School,false,X156,false,339,339,0,0,0.012,0.319,0.652,0.003,0.015,0.183,0.08,0.853,146,108,74.0%,146,120,82.2%,,,,
07X369,7,Young Leaders Elementary School,false,X040,false,248,248,0,0,0,0.185,0.79,0.012,0.012,0.274,0.226,0.972,101,34,33.7%,103,42,40.8%,,,,
07X379,7,Jill Chaifetz Transfer High School,false,X184,true,209,0,0,209,0.014,0.273,0.67,0.029,0.014,0.321,0.096,0.866,,,,,,,75,5.3%,106,40.6%
07X381,7,Bronx Haven High School,false,X600,true,169,0,0,169,0.012,0.243,0.728,0.006,0.012,0.32,0.124,0.888,,,,,,,52,26.9%,93,38.7%
07X427,7,Community School for Social Justice,false,X884,false,310,0,0,310,0,0.255,0.719,0.016,0.01,0.268,0.232,0.926,,,,,,,72,70.8%,67,71.6%
07X473,7,Mott Haven Village Preparatory High School,false,X470,false,302,0,0,302,0.013,0.288,0.682,0.013,0.003,0.298,0.156,0.954,,,,,,,80,50.0%,96,68.8%
07X495,7,University Heights Secondary School,false,X470,false,581,0,0,581,0.059,0.248,0.628,0.043,0.022,0.182,0.031,0.828,,,,,,,106,98.1%,121,98.3%
07X500,7,Hostos-Lincoln Academy of Science,false,X162,false,535,0,164,371,0.021,0.262,0.697,0.009,0.011,0.193,0.03,0.832,160,84,52.5%,158,45,28.5%,93,88.2%,85,91.8%
07X522,7,Bronx Design and Construction Academy,false,X600,false,382,0,0,382,0.003,0.277,0.699,0.01,0.01,0.369,0.089,0.906,,,,,,,98,67.3%,127,67.7%
07X527,7,Bronx Leadership Academy II High School,false,X790,false,496,0,0,496,0.004,0.27,0.716,0.002,0.008,0.298,0.129,0.903,,,,,,,133,77.4%,124,82.3%
07X548,7,Careers in Sports High School,false,X790,false,499,0,0,499,0.006,0.275,0.709,0.004,0.006,0.271,0.164,0.89,,,,,,,133,62.4%,130,80.8%
07X551,7,The Urban Assembly Bronx Academy of Letters,false,X183,false,586,0,253,333,0.005,0.323,0.635,0.01,0.027,0.283,0.137,0.916,243,44,18.1%,240,34,14.2%,80,87.5%,72,88.9%
07X557,7,Mott Haven Community High School,false,X655,true,244,0,0,244,0.004,0.295,0.664,0,0.037,0.336,0.102,0.848,,,,,,,124,25.8%,119,58.8%
07X584,7,I.S. 584,false,X162,false,247,0,247,0,0.004,0.227,0.761,0.008,0,0.231,0.239,0.972,218,60,27.5%,225,26,11.6%,,,,
07X600,7,Alfred E. Smith Career and Technical Education High School,false,X600,false,435,0,0,435,0.007,0.246,0.724,0.011,0.011,0.267,0.168,0.908,,,,,,,102,89.2%,77,85.7%
07X670,7,Health Opportunities High School,false,X884,false,476,0,0,476,0.004,0.349,0.599,0.034,0.015,0.267,0.12,0.903,,,,,,,163,61.3%,137,56.9%
08X075,8,P.S. 75 School of Research and Discovery,false,X075,false,602,602,0,0,0.015,0.216,0.731,0.015,0.023,0.213,0.159,0.865,268,89,33.2%,274,117,42.7%,,,,
08X093,8,P.S. 093 Albert G. Oliver,false,X093,false,393,393,0,0,0.01,0.379,0.583,0.013,0.015,0.173,0.059,0.707,116,31,26.7%,118,39,33.1%,,,,
08X101,8,M.S. X101 Edward R. Byrne,false,X101,false,545,0,545,0,0.161,0.094,0.596,0.02,0.128,0.231,0.02,0.695,530,357,67.4%,528,313,59.3%,,,,
08X107,8,P.S. 107,false,X107,false,578,578,0,0,0.003,0.32,0.649,0.005,0.022,0.298,0.1,0.978,231,86,37.2%,237,79,33.3%,,,,
08X123,8,J.H.S. 123 James M. Kieran,false,X123,false,490,0,490,0,0.027,0.176,0.776,0.012,0.01,0.259,0.259,0.916,349,89,25.5%,366,96,26.2%,,,,
08X131,8,J.H.S. 131 Albert Einstein,false,X131,false,446,0,446,0,0.036,0.316,0.63,0.011,0.007,0.303,0.099,0.886,454,122,26.9%,456,95,20.8%,,,,
08X140,8,P.S. X140 The Eagle School,false,X140,false,553,553,0,0,0.004,0.329,0.644,0.007,0.016,0.217,0.087,0.971,240,77,32.1%,244,71,29.1%,,,,
08X146,8,P.S. 146 Edward Collins,false,X146,false,394,394,0,0,0,0.36,0.581,0.02,0.038,0.244,0.132,0.967,166,54,32.5%,167,62,37.1%,,,,
08X282,8,Women's Academy of Excellence,false,X174,false,230,0,0,230,0.078,0.335,0.43,0.026,0.13,0.2,0.209,0.93,,,,,,,64,65.6%,64,78.1%
08X293,8,Renaissance High School for Musical Theater and the Arts,false,X405,false,431,0,0,431,0.037,0.232,0.652,0.016,0.063,0.22,0.039,0.773,,,,,,,119,84.9%,88,72.7%
08X301,8,M.S. 301 Paul L. Dunbar,false,X120,false,199,0,199,0,0,0.477,0.457,0.04,0.025,0.246,0.216,0.96,216,38,17.6%,231,28,12.1%,,,,
08X302,8,M.S. 302 Luisa Dessus Cruz,false,X052,false,484,0,484,0,0.002,0.184,0.798,0.008,0.008,0.277,0.2,0.967,451,121,26.8%,469,130,27.7%,,,,
08X304,8,P.S. 304 Early Childhood School,false,X101,false,519,519,0,0,0.069,0.085,0.678,0.015,0.152,0.185,0.035,0.68,225,162,72.0%,224,142,63.4%,,,,
08X312,8,Millennium Art Academy,false,X450,false,406,0,0,406,0.015,0.259,0.685,0.015,0.027,0.241,0.047,0.783,,,,,,,103,74.8%,107,77.6%
08X320,8,Pelham Lab High School,false,X405,false,450,0,0,450,0.076,0.224,0.618,0.022,0.06,0.196,0.144,0.791,,,,,,,108,70.4%,110,77.3%
08X333,8,The Longwood Academy of Discovery,false,X060,false,582,582,0,0,0.007,0.208,0.756,0.005,0.024,0.294,0.206,0.957,265,41,15.5%,268,61,22.8%,,,,
08X337,8,The School for Inquiry and Social Justice,false,X123,false,494,0,494,0,0.016,0.206,0.741,0.02,0.016,0.233,0.101,0.822,482,255,52.9%,480,269,56.0%,,,,
08X348,8,Schuylerville Preparatory High School,false,X405,false,383,0,0,383,0.089,0.256,0.574,0.016,0.065,0.23,0.149,0.781,,,,,,,98,68.4%,63,82.5%
08X349,8,Bronx River High School,false,X405,false,460,0,0,460,0.065,0.261,0.578,0.026,0.07,0.261,0.15,0.804,,,,,,,96,79.2%,89,84.3%
08X367,8,"Archimedes Academy for Math, Science and Technology Applications",false,X174,false,593,0,271,322,0.103,0.278,0.585,0.013,0.02,0.268,0.103,0.804,280,99,35.4%,273,62,22.7%,94,64.9%,94,80.9%
08X371,8,Urban Institute of Mathematics,false,X192,false,363,0,363,0,0.041,0.105,0.697,0.014,0.143,0.234,0.044,0.694,360,184,51.1%,357,157,44.0%,,,,
08X375,8,The Bronx Mathematics Preparatory School,false,X174,false,202,0,202,0,0.05,0.381,0.54,0.015,0.015,0.307,0.134,0.995,204,49,24.0%,214,46,21.5%,,,,
08X376,8,Antonia Pantoja Preparatory Academy: A College Board School,false,X450,false,396,0,168,228,0.051,0.169,0.745,0.02,0.015,0.28,0.144,0.879,191,58,30.4%,200,45,22.5%,61,67.2%,54,70.4%
08X377,8,Bronx Community High School,false,X450,true,136,0,0,136,0.007,0.346,0.61,0.007,0.029,0.184,0.037,0.86,,,,,,,79,12.7%,74,51.4%
08X392,8,Bronx Delta School,false,X192,false,440,440,0,0,0.055,0.136,0.67,0.014,0.125,0.205,0.05,0.673,77,34,44.2%,79,48,60.8%,,,,
08X405,8,Herbert H. Lehman High School,false,X405,false,898,0,0,898,0.106,0.303,0.48,0.024,0.087,0.254,0.111,0.803,,,,,,,182,68.1%,241,69.3%
08X424,8,The Hunts Point School,false,X074,false,289,0,289,0,0.007,0.239,0.737,0,0.017,0.325,0.263,0.934,260,38,14.6%,279,31,11.1%,,,,
08X432,8,Bronx Bridges High School,false,X450,false,341,0,0,341,0.132,0.059,0.751,0.015,0.044,0.109,0.786,0.971,,,,,,,93,77.4%,70,68.6%
08X448,8,Soundview Academy for Culture and Scholarship,false,X131,false,374,0,374,0,0.027,0.289,0.674,0.005,0.005,0.254,0.086,0.821,359,104,29.0%,355,97,27.3%,,,,
08X452,8,Gotham Collaborative High School,false,X450,false,485,0,0,485,0.089,0.307,0.573,0.004,0.027,0.26,0.138,0.885,,,,,,,157,59.2%,81,70.4%
08X467,8,Mott Hall Community School,false,X192,false,342,0,342,0,0.026,0.164,0.728,0.012,0.07,0.284,0.096,0.871,314,79,25.2%,326,68,20.9%,,,,
08X530,8,Longwood Preparatory Academy,false,X039,false,328,0,0,328,0.003,0.305,0.677,0.012,0.003,0.299,0.162,0.893,,,,,,,76,69.7%,51,60.8%
08X537,8,Bronx Arena High School,false,X972,true,195,0,0,195,0.021,0.338,0.621,0,0.021,0.179,0.056,0.933,,,,,,,67,17.9%,67,38.8%
08X558,8,Westchester Square Academy,false,X405,false,508,0,0,508,0.065,0.238,0.591,0.006,0.1,0.207,0.089,0.793,,,,,,,151,73.5%,147,85.0%
08X559,8,School for Tourism and Hospitality,false,X650,false,249,0,0,249,0.004,0.317,0.631,0.032,0.016,0.325,0.233,0.871,,,,,,,105,39.0%,67,68.7%
08X561,8,Bronx Compass High School,false,X450,false,374,0,0,374,0.056,0.241,0.652,0.013,0.037,0.265,0.118,0.858,,,,,,,102,79.4%,103,58.3%
08X562,8,Blueprint Middle School,false,X125,false,636,0,636,0,0.259,0.104,0.549,0.028,0.06,0.219,0.195,0.899,629,206,32.8%,646,220,34.1%,,,,
09X004,9,P.S./M.S. 004 Crotona Park West,false,X004,false,468,334,134,0,0.004,0.511,0.474,0.004,0.006,0.218,0.124,0.949,292,79,27.1%,301,93,30.9%,,,,
09X022,9,J.H.S. 022 Jordan L. Mott,false,X022,false,389,0,389,0,0.015,0.244,0.712,0.003,0.026,0.242,0.262,0.949,385,77,20.0%,397,47,11.8%,,,,
09X042,9,P.S. 042 Claremont,false,X042,false,371,371,0,0,0,0.423,0.563,0.003,0.011,0.291,0.105,1,148,47,31.8%,151,39,25.8%,,,,
09X055,9,P.S. 055 Benjamin Franklin,false,X055,false,611,611,0,0,0,0.483,0.506,0.002,0.01,0.188,0.067,0.971,229,84,36.7%,235,73,31.1%,,,,
09X110,9,P.S. 110 Theodore Schoenfeld,false,X110,false,400,400,0,0,0.002,0.34,0.565,0.01,0.083,0.213,0.145,0.988,193,62,32.1%,191,57,29.8%,,,,
09X117,9,I.S. 117 Joseph H. Wade,false,X117,false,443,0,443,0,0.007,0.176,0.792,0.009,0.016,0.278,0.327,0.95,447,75,16.8%,471,70,14.9%,,,,
09X128,9,Mott Hall III,false,X110,false,340,0,340,0,0.009,0.335,0.632,0.003,0.021,0.191,0.071,0.941,342,220,64.3%,341,179,52.5%,,,,
09X204,9,P.S. 204 Morris Heights,false,X338,false,621,621,0,0,0.008,0.269,0.707,0.008,0.008,0.237,0.122,0.858,334,194,58.1%,337,193,57.3%,,,,
09X215,9,Kappa,false,X148,false,337,0,337,0,0.024,0.522,0.43,0.003,0.021,0.243,0.107,0.908,301,120,39.9%,298,109,36.6%,,,,
09X218,9,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,false,X235,false,1043,711,332,0,0.028,0.045,0.906,0.013,0.008,0.171,0.22,0.878,653,228,34.9%,655,235,35.9%,,,,
09X219,9,I.S. 219 New Venture School,false,X148,false,330,0,330,0,0.003,0.367,0.606,0.009,0.015,0.373,0.224,0.961,314,39,12.4%,327,22,6.7%,,,,
09X227,9,Bronx Collegiate Academy,false,X410,false,350,0,0,350,0.037,0.254,0.691,0.009,0.009,0.251,0.151,0.866,,,,,,,101,84.2%,93,71.0%
09X229,9,I.S. 229 Roland Patterson,false,X229,false,241,0,241,0,0.008,0.299,0.676,0.012,0.004,0.353,0.17,0.929,219,32,14.6%,228,10,4.4%,,,,
09X232,9,I.S. 232,false,X082,false,457,0,457,0,0,0.219,0.766,0,0.015,0.23,0.302,0.982,451,112,24.8%,477,85,17.8%,,,,
09X241,9,"Urban Assembly School for Applied Math and Science, The",false,X970,false,599,0,258,341,0.005,0.277,0.705,0.01,0.003,0.29,0.119,0.925,242,62,25.6%,194,45,23.2%,82,70.7%,94,88.3%
09X250,9,Eximius College Preparatory Academy: A College Board School,false,X002,false,393,0,0,393,0.015,0.326,0.626,0.031,0.003,0.244,0.076,0.842,,,,,,,115,80.0%,104,91.3%
09X252,9,Mott Hall Bronx High School,false,X970,false,356,0,0,356,0.003,0.247,0.733,0.008,0.008,0.244,0.093,0.933,,,,,,,102,81.4%,103,84.5%
09X260,9,Bronx Center for Science and Mathematics,false,X002,false,441,0,0,441,0.068,0.22,0.664,0.023,0.025,0.211,0.052,0.839,,,,,,,109,91.7%,111,94.6%
09X263,9,Validus Preparatory Academy,false,X970,false,359,0,0,359,0.003,0.351,0.641,0.006,0,0.256,0.117,0.942,,,,,,,96,70.8%,94,80.9%
09X274,9,The New American Academy at Roberto Clemente State Park,false,X229,false,624,624,0,0,0.002,0.365,0.611,0.013,0.01,0.266,0.13,0.976,290,75,25.9%,301,48,15.9%,,,,
09X294,9,The Walton Avenue School,false,X064,false,476,476,0,0,0.004,0.141,0.817,0.021,0.017,0.258,0.179,0.924,140,104,74.3%,161,145,90.1%,,,,
09X297,9,Morris Academy for Collaborative Studies,false,X400,false,432,0,0,432,0.014,0.252,0.715,0.007,0.012,0.243,0.13,0.958,,,,,,,86,79.1%,97,79.4%
09X303,9,I.S. X303 Leadership & Community Service,false,X082,false,315,0,315,0,0.01,0.279,0.695,0.006,0.01,0.343,0.098,0.981,291,102,35.1%,245,64,26.1%,,,,
09X311,9,Lucero Elementary School,false,X064,false,359,359,0,0,0,0.075,0.914,0.006,0.006,0.223,0.407,0.978,157,60,38.2%,170,77,45.3%,,,,
09X313,9,I.S. 313 School of Leadership Development,false,X147,false,268,0,268,0,0.007,0.25,0.728,0.007,0.007,0.243,0.347,0.914,241,43,17.8%,270,57,21.1%,,,,
09X323,9,Bronx Writing Academy,false,X022,false,383,0,383,0,0.016,0.292,0.661,0.005,0.026,0.256,0.274,0.95,355,95,26.8%,372,68,18.3%,,,s,s
09X324,9,Bronx Early College Academy for Teaching & Learning,false,X166,false,466,0,183,283,0.021,0.273,0.687,0.006,0.013,0.232,0.082,0.873,200,49,24.5%,117,25,21.4%,63,100.0%,73,91.8%
09X327,9,Comprehensive Model School Project M.S. 327,false,X240,false,708,0,302,406,0.004,0.179,0.806,0.003,0.007,0.263,0.106,0.887,289,118,40.8%,288,166,57.6%,120,88.3%,112,91.1%
09X328,9,New Millennium Bronx Academy of the Arts,false,X145,false,320,0,320,0,0.013,0.378,0.594,0,0.016,0.269,0.213,0.934,271,48,17.7%,287,42,14.6%,,,,
09X329,9,DreamYard Preparatory School,false,X410,false,271,0,0,271,0.007,0.269,0.708,0,0.015,0.229,0.203,0.897,,,,,,,64,70.3%,78,74.4%
09X339,9,I.S. 339,false,X147,false,422,0,422,0,0.005,0.289,0.697,0.002,0.007,0.287,0.291,0.938,396,84,21.2%,435,89,20.5%,,,,
09X350,9,New Directions Secondary School,false,X410,true,197,0,58,139,0.01,0.228,0.721,0.03,0.01,0.254,0.487,0.959,39,2,5.1%,38,1,2.6%,62,9.7%,s,s
09X365,9,Academy for Language and Technology,false,X082,false,331,0,0,331,0,0,1,0,0,0.048,0.674,0.994,,,,,,,73,98.6%,76,97.4%
09X403,9,Bronx International High School,false,X400,false,375,0,0,375,0.029,0.128,0.811,0.003,0.029,0.037,0.899,0.923,,,,,,,96,74.0%,76,96.1%
09X404,9,School for Excellence,false,X400,false,249,0,0,249,0.008,0.309,0.651,0.008,0.024,0.261,0.265,0.92,,,,,,,94,61.7%,92,64.1%
09X412,9,Bronx High School of Business,false,X410,false,303,0,0,303,0.023,0.198,0.756,0.01,0.013,0.234,0.37,0.924,,,,,,,58,67.2%,53,69.8%
09X413,9,Bronx High School for Medical Science,false,X410,false,427,0,143,284,0.073,0.248,0.639,0.019,0.021,0.23,0.112,0.85,143,62,43.4%,139,51,36.7%,67,85.1%,66,95.5%
09X443,9,The Family School,false,X090,false,537,537,0,0,0.041,0.235,0.711,0.004,0.009,0.281,0.318,0.924,207,70,33.8%,218,85,39.0%,,,,
09X449,9,Grant Avenue Elementary School,false,X166,false,427,427,0,0,0.044,0.269,0.644,0.019,0.023,0.319,0.225,0.909,198,73,36.9%,200,70,35.0%,,,,
09X454,9,Science and Technology Academy: A Mott Hall School,false,X166,false,426,0,426,0,0.028,0.258,0.692,0.007,0.014,0.209,0.138,0.915,406,208,51.2%,422,218,51.7%,,,,
09X457,9,Sheridan Academy for Young Leaders,false,X090,false,521,521,0,0,0.029,0.267,0.685,0.008,0.012,0.236,0.219,0.973,221,68,30.8%,239,88,36.8%,,,,
09X517,9,Frederick Douglass Academy III Secondary School,false,X148,false,333,0,0,333,0.015,0.456,0.511,0.009,0.009,0.276,0.183,0.892,,,,,,,106,72.6%,98,80.6%
